datetime,sym,price,size
2025.05.05D13:13:21.568182323,IBM,243.47,5
2025.05.05D13:13:21.568182323,IBM,243.47,15
2025.05.05D13:14:38.905959387,IBM,243.5,2
2025.05.05D13:16:14.657783895,IBM,243.49,20
2025.05.05D13:16:27.664647145,IBM,243.3,2
2025.05.05D13:17:09.079895789,IBM,243.35,5
2025.05.05D13:17:44.040372965,IBM,243.49,5
2025.05.05D13:19:11.308362491,IBM,243.49,400
2025.05.05D13:19:33.381857259,IBM,243.46,5
2025.05.05D13:19:36.634946507,IBM,243.48,1
2025.05.05D13:19:44.182056832,IBM,243.49,60
2025.05.05D13:20:41.909765691,IBM,243.49,200
2025.05.05D13:20:46.613747091,IBM,243.44,5
2025.05.05D13:20:46.613752974,IBM,243.45,50
2025.05.05D13:20:46.613752974,IBM,243.49,10
2025.05.05D13:20:46.613755882,IBM,243.49,8
2025.05.05D13:20:46.613758939,IBM,243.49,28
2025.05.05D13:21:20.632980046,IBM,243.5,5
2025.05.05D13:21:31.578010389,IBM,243.1,1
2025.05.05D13:21:43.274572529,IBM,243.49,100
2025.05.05D13:21:43.322660022,IBM,243.49,1
2025.05.05D13:22:15.178120714,IBM,243.5,2
2025.05.05D13:22:20.237900454,IBM,243.49,72
2025.05.05D13:22:20.237903386,IBM,243.5,108
2025.05.05D13:22:20.237906300,IBM,243.5,27
2025.05.05D13:22:20.238468665,IBM,243.5,100
2025.05.05D13:23:57.212776422,IBM,243.1,200
2025.05.05D13:23:58.365845179,IBM,243.31,3
2025.05.05D13:23:58.365854153,IBM,243.3,7
2025.05.05D13:23:58.365863177,IBM,243.3,1
2025.05.05D13:24:04.563035184,IBM,243.31,20
2025.05.05D13:24:57.250574554,IBM,243.3,1
2025.05.05D13:24:57.250628612,IBM,243.3,25
2025.05.05D13:24:57.250631732,IBM,243.3,11
2025.05.05D13:24:57.250670959,IBM,243.21,1
2025.05.05D13:24:57.445186137,IBM,243.44,10
2025.05.05D13:27:04.861072125,IBM,243.2,1
2025.05.05D13:27:04.862350111,IBM,243.18,2
2025.05.05D13:27:04.863983036,IBM,243.12,64
2025.05.05D13:27:56.180970348,IBM,243.31,4
2025.05.05D13:27:59.343838887,IBM,243.25,10
2025.05.05D13:27:59.343841688,IBM,243.25,16
2025.05.05D13:29:32.079779250,IBM,243.5,10
2025.05.05D13:30:01.065649000,IBM,243.74,43117
2025.05.05D13:30:01.065649000,IBM,243.74,43117
2025.05.05D13:30:01.079911532,IBM,243.77,1
2025.05.05D13:30:01.079914461,IBM,243.77,1
2025.05.05D13:30:01.082001480,IBM,243.6,15
2025.05.05D13:30:01.082338253,IBM,243.64,1
2025.05.05D13:30:01.082369004,IBM,243.64,1
2025.05.05D13:30:01.082369004,IBM,243.64,1
2025.05.05D13:30:01.082383417,IBM,243.72,11
2025.05.05D13:30:01.082398418,IBM,243.64,16
2025.05.05D13:30:01.082425444,IBM,243.77,5
2025.05.05D13:30:01.082500735,IBM,243.72,5
2025.05.05D13:30:01.082783355,IBM,243.64,16
2025.05.05D13:30:01.262370945,IBM,243.32,1
2025.05.05D13:30:01.262776923,IBM,243.9,1
2025.05.05D13:30:01.264401029,IBM,243.9,1
2025.05.05D13:30:01.280831983,IBM,243.74,1
2025.05.05D13:30:01.296228578,IBM,243.32,1
2025.05.05D13:30:01.297687111,IBM,243.74,1
2025.05.05D13:30:01.302375198,IBM,244.09,1
2025.05.05D13:30:01.310653889,IBM,244.09,1
